,0,1,2
0,6.0,0.3410918,-4.5289375
1,5.0,0.44413086,-5.4968125
2,4.0,0.23100195,-2.88675
3,7.0,0.20027539,-3.534375
4,3.0,0.29193555,-4.3520625
5,6.0,0.21278516,-3.721375
6,3.0,0.20337891,-3.3363125
7,1.0,0.12304297,-0.707875
8,0.0,0.28954102,-4.644125
9,1.0,0.11385937,-0.931375
10,7.0,0.25326172,-5.5329375
11,0.0,0.33150781,-1.9401875
12,1.0,0.11537109,-0.386
13,1.0,0.10228125,-0.3788125
14,7.0,0.15481055,-3.29475
15,7.0,0.18846094,-3.202
16,4.0,0.20914258,-3.79575
17,8.0,0.44066992,-4.3504375
18,0.0,0.41480664,-3.7495625
19,1.0,0.14204297,-1.8194375
20,4.0,0.20682227,-2.31725
21,8.0,0.27822461,-4.0888125
22,7.0,0.19740234,-4.139
23,4.0,0.21369531,-4.2045625
24,8.0,0.28741406,-4.3654375
25,7.0,0.15986133,-3.2423125
26,3.0,0.28341602,-4.0206875
27,7.0,0.19057617,-3.876
28,4.0,0.21297852,-4.493375
29,1.0,0.14896484,-0.9749375
30,3.0,0.29260352,-4.7495
31,6.0,0.20930078,-3.767125
32,7.0,0.17407813,-3.443375
33,4.0,0.12761914,-3.1504375
34,1.0,0.12889648,-0.521625
35,3.0,0.14435352,-2.1880625
36,7.0,0.16850195,-3.7725625
37,7.0,0.21072461,-4.0576875
38,4.0,0.35700391,-5.1086875
39,5.0,0.21798242,-3.359625
40,4.0,0.32469141,-4.671125
41,2.0,0.30232617,-5.9131875
42,7.0,0.23701172,-4.2888125
43,4.0,0.27167383,-5.0855
44,1.0,0.1438125,-0.2509375
45,3.0,0.24815234,-3.5175
46,7.0,0.25998047,-4.9770625
47,7.0,0.16880273,-3.3520625
48,4.0,0.22463867,-4.466625
49,0.0,0.27998633,-3.1631875
50,6.0,0.2253418,-3.977875
51,3.0,0.25181055,-3.654375
52,2.0,0.16425195,-2.8780625
53,0.0,0.17680469,-0.7626875
54,8.0,0.18921094,-3.328375
55,6.0,0.14176563,-2.326
56,6.0,0.16395313,-2.691875
57,2.0,0.23323633,-4.245875
58,0.0,0.41479102,-3.7660625
59,8.0,0.34156641,-4.8388125
60,7.0,0.22111914,-4.2523125
61,8.0,0.28816211,-3.75325
62,2.0,0.26739844,-3.47025
63,0.0,0.34409766,-1.65875
64,9.0,0.17676562,-2.18075
65,0.0,0.29141602,-3.130625
66,2.0,0.23461914,-3.3475
67,2.0,0.28325195,-4.861125
68,0.0,0.57900781,-2.849625
69,8.0,0.42295508,-4.58325
70,1.0,0.18283984,-1.0160625
71,2.0,0.33435352,-3.808875
72,0.0,0.39012109,-2.077125
73,8.0,0.35011133,-4.5961875
74,3.0,0.30577539,-4.2723125
75,3.0,0.26988281,-3.781125
76,2.0,0.19907422,-3.6469375
77,8.0,0.30645703,-2.082
78,2.0,0.11708789,-2.7410625
79,2.0,0.2636875,-4.38825
80,0.0,0.42306055,-3.1710625
81,8.0,0.33792773,-3.1846875
82,1.0,0.14866406,-0.3103125
83,4.0,0.20427539,-3.7735625
84,4.0,0.32394141,-4.4250625
85,8.0,0.41233789,-5.5705
86,9.0,0.26885156,-3.674875
87,8.0,0.35138672,-4.4420625
88,9.0,0.37638086,-6.194875
89,6.0,0.30213477,-3.89275
90,7.0,0.25282812,-4.810375
91,6.0,0.33438867,-4.930875
92,1.0,0.13639648,-0.3523125
93,9.0,0.26610156,-3.7638125
94,7.0,0.20053906,-3.7035
95,0.0,0.42260938,-4.761125
96,8.0,0.24904883,-4.0290625
97,0.0,0.31656641,-2.7206875
98,4.0,0.25138281,-4.99325
99,6.0,0.20269141,-3.6675625
100,8.0,0.26214258,-4.100125
101,0.0,0.31361914,-3.78425
102,0.0,0.30116602,-3.454875
103,3.0,0.33696094,-4.6469375
104,0.0,0.29473242,-3.053
105,8.0,0.27826172,-4.4676875
106,0.0,0.42530273,-3.6656875
107,9.0,0.1857832,-3.4355625
108,0.0,0.41161914,-3.4816875
109,3.0,0.26391211,-4.62975
110,8.0,0.33248828,-2.502
111,0.0,0.47179688,-4.263875
112,1.0,0.13327539,-0.8525
113,2.0,0.30964648,-4.949125
114,2.0,0.29937891,-5.5686875
115,9.0,0.31595508,-5.7154375
116,0.0,0.39529102,-4.564375
117,6.0,0.25022266,-4.73425
118,6.0,0.21973828,-3.86075
119,5.0,0.304,-4.2009375
120,9.0,0.39480078,-5.1758125
121,2.0,0.40496289,-6.0150625
122,0.0,0.39301562,-4.5141875
123,9.0,0.29694531,-3.1875
124,1.0,0.170125,-0.8236875
125,4.0,0.31182031,-5.115875
126,1.0,0.16058398,-0.5146875
127,2.0,0.3134707,-3.9344375
128,7.0,0.3470957,-5.96525
129,1.0,0.18338477,-1.7868125
130,0.0,0.45131445,-4.8573125
131,9.0,0.17400391,-2.964
132,0.0,0.39408398,-5.8528125
133,8.0,0.36280664,-5.8456875
134,0.0,0.45438281,-2.711625
135,7.0,0.18037891,-3.96825
136,9.0,0.15353516,-2.9208125
137,1.0,0.18854883,-1.38175
138,3.0,0.34718164,-5.0629375
139,0.0,0.38668359,-2.8516875
140,4.0,0.21601367,-2.9423125
141,4.0,0.27704883,-4.812625
